"コード","住所1","住所2"
"40050_0652_00","福岡市東区","青葉"
"40050_0599_00","福岡市東区","大岳"
"40050_0017_00","福岡市東区","貝塚団地"
"40050_0029_00","福岡市東区","香椎"
"40050_0524_00","福岡市東区","香椎駅東"
"40050_0512_00","福岡市東区","香椎駅前"
"40050_0649_00","福岡市東区","香椎台"
"40050_0031_00","福岡市東区","香椎団地"
"40050_0690_00","福岡市東区","香椎照葉"
"40050_0551_00","福岡市東区","香椎浜"
"40050_0714_00","福岡市東区","香椎浜ふ頭"
"40050_0043_00","福岡市東区","香住ヶ丘"
"40050_0082_00","福岡市東区","堅粕"
"40050_0056_00","福岡市東区","勝馬"
"40050_0094_00","福岡市東区","金平"
"40050_0068_00","福岡市東区","蒲田"
"40050_0070_00","福岡市東区","上和白"
"40050_0676_00","福岡市東区","雁の巣"
"40050_0106_00","福岡市東区","郷口町"
"40050_0118_00","福岡市東区","西戸崎"
"40050_0120_00","福岡市東区","塩浜"
"40050_0450_00","福岡市東区","汐見"
"40050_0132_00","福岡市東区","志賀島"
"40050_0183_00","福岡市東区","下臼井"
"40050_0157_00","福岡市東区","下原"
"40050_0144_00","福岡市東区","下和白"
"40050_0171_00","福岡市東区","社領"
"40050_0169_00","福岡市東区","城浜団地"
"40050_0195_00","福岡市東区","杉山町"
"40050_0462_00","福岡市東区","高美台"
"40050_0207_00","福岡市東区","多々良"
"40050_0219_00","福岡市東区","多の津"
"40050_0221_00","福岡市東区","大学前"
"40050_0233_00","福岡市東区","千早"
"40050_0245_00","福岡市東区","津屋"
"40050_0258_00","福岡市東区","唐原"
"40050_0260_00","福岡市東区","土井"
"40050_0411_00","福岡市東区","名子"
"40050_0272_00","福岡市東区","名島"
"40050_0284_00","福岡市東区","奈多"
"40050_0486_00","福岡市東区","奈多団地"
"40050_0296_00","福岡市東区","箱崎"
"40050_0423_00","福岡市東区","箱崎ふ頭"
"40050_0308_00","福岡市東区","筥松"
"40050_0625_00","福岡市東区","筥松新町"
"40050_0310_00","福岡市東区","八田"
"40050_0322_00","福岡市東区","浜男"
"40050_0498_00","福岡市東区","原田"
"40050_0474_00","福岡市東区","東浜"
"40050_0334_00","福岡市東区","東浜町"
"40050_0601_00","福岡市東区","弘"
"40050_0346_00","福岡市東区","二又瀬"
"40050_0637_00","福岡市東区","二又瀬新町"
"40050_0548_00","福岡市東区","舞松原"
"40050_0359_00","福岡市東区","馬出"
"40050_0361_00","福岡市東区","松香台"
"40050_0373_00","福岡市東区","松崎"
"40050_0385_00","福岡市東区","松島"
"40050_0613_00","福岡市東区","松田"
"40050_0563_00","福岡市東区","御島崎"
"40050_0536_00","福岡市東区","水谷"
