"種別","場所","内容","日付","受信日時","メール本文"
"発生","博多区住吉２丁目","ひったくり未遂","１月４日午前４時ころ","2015-01-04 08:59:47","１月４日午前４時ころ、博多区住吉２丁目で、徒歩で帰宅中の女性が所持していたバッグをひったくられそうになる事件が発生しました。犯人は、原動機付自転車に乗った男２名で、犯人の特徴は両名とも黒ぽい服装を着用していました。被害に遭わないためにも、●時々振り返るなど後方にも気を配りましょう。●バックは車道側と反対の方に持つ。

配信者：博多警察署
お問い合わせ・情報提供先
092-412-0110

"
"発生","東区和白丘３丁目","わいせつ事案","１月６日午前２時ころ","2015-01-06 08:29:06","１月６日午前２時ころ、東区和白丘３丁目で、通行中の女性が、男から体を触られる事件が発生しました。犯人は、年齢３０歳から４０歳代、身長１６５センチ位、やせ型、黒色短髪、黒色上下を着用しています。●深夜の一人歩きは避ける。●危険を感じたら大声を出す。●防犯ブザー等を活用するなどしましょう。

配信者：東警察署
お問い合わせ・情報提供先
092-643-0110

"
"発生","博多区平尾２丁目","公然わいせつ事案","１月６日午後８時ころ","2015-01-07 10:06:38","１月６日午後８時ころ、博多区平尾２丁目で自動車乗車中の男が下半身を露出する事案が発生しました。犯人は、年齢２０歳くらい、身長１７０センチくらい、やせ型、黒色短髪、紺色パーカーを着用していました。被害に遭わないためにも●不審者を見たら大声を出す●すぐに１１０番通報する●防犯ブザーを活用するなどしましょう。

配信者：博多警察署
お問い合わせ・情報提供先
092-412-0110

"
"発生","お知らせした、「博多区","場所訂正","１月７日","2015-01-07 11:06:10","１月７日にお知らせした、「博多区で公然わいせつ事案発生」については、発生場所を東平尾公園２丁目と訂正します。

配信者：博多警察署
お問い合わせ・情報提供先
092-412-0110

"
"発生","小倉南区","ニセ電話詐欺事件","平成２６年１２月","2015-01-07 18:35:04","平成２６年１２月、小倉南区の女性宅に古銭取引業者を名乗る男から電話があり「あなたに古銭購入権利が当たっている。その権利を譲ってほしい」等と言われ、女性が郵便物を確認したところ、古銭購入のパンフレットが郵送されており、その後、別の男から「あなたの名前での取引は違法である。処罰を免れるにはお金が必要」等と言われ、犯人が指定した住所に２回に亘って合計３５０万円を宅配便で送付し、だまし取られる事件が発生しています。●ストップ！ニセ電話詐欺！電話で「お金」は、すぐ相談！

配信者：福岡県警察本部生活安全総務課
お問い合わせ・情報提供先
092-641-4141

"
"発生","若松区","ニセ電話詐欺事件","平成２６年１０月から１１月","2015-01-09 12:44:34","平成２６年１０月から１１月にかけ、若松区の女性に複数の男から次々と電話があり「あなたは契約している、解約に１，６００万円必要」等と言われ、さらにその後「契約違反で、逮捕されるおそれがある。逮捕されないために４，０００万円必要」等と言われ、犯人が指定した住所に６回に亘り計５，６００万円を宅配便で送付し、騙し取られる事件が発生しています。●知らない相手から現金を求められる電話はすべてニセ電話詐欺です。すぐに１１０番してください。●ストップ！ニセ電話詐欺！電話で「お金」はすぐ相談！

配信者：福岡県警察本部生活安全総務課
お問い合わせ・情報提供先
092-641-4141

"
"発生","早良区次郎丸１丁目路上","痴漢事案","１月９日午後９時３０分ころ","2015-01-10 09:46:27","１月９日午後９時３０分ころ、早良区次郎丸１丁目付近路上で、徒歩通行中の女性が、犯人から体を触られる事案が発生しました。犯人は、身長１６５センチメートルくらい、年齢は若い感じ、上着が黒っぽいジャンパーでフードにファー付き、黒っぽい長ズボンを着用した男でした。●深夜の一人歩きは避ける。●危険を感じたら大声を出す。●防犯ブザー等を活用するなどしましょう。

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110

"
"発生","東区美和台５丁目","ひったくり","１月１０日午後５時ころ","2015-01-11 08:46:37","１月１０日午後５時ころ、東区美和台５丁目で、徒歩通行中の女性が、バッグをひったくられる事件が発生しました。犯人は、身長１６０センチくらい、赤茶色コート、色不明のズボンを着用した男です。被害にあわないために、●バッグは車道側と反対の方に持つ。●時々後方を振り返るなど警戒していることをアピールしましょう。

配信者：東警察署
お問い合わせ・情報提供先
092-643-0110

"
"発生","東区土井１丁目","声かけ事案","１月１０日午後８時ころ","2015-01-11 09:00:09","１月１０日午後８時ころ、東区土井１丁目付近で、徒歩通行中の女性が男から、卑猥な言葉をかけられる事案が発生しました。犯人は、年齢３０～４０歳くらい、身長１６０センチくらい、上下黒色スウェットを着用しています。被害にあわないために、●防犯ブザーを活用する。●不審者を見たら大声を出す。●危険を感じたら大声で助けを求め、すぐに１１０番通報するなどしましょう。

配信者：東警察署
お問い合わせ・情報提供先
092-643-0110

"
"発生","城南区茶山２丁目","痴漢事案","１月１０日午後９時ころ","2015-01-11 09:49:28","　１月１０日午後９時ころ、福岡市城南区茶山２丁目付近において、帰宅中の女性が男から体を触られる事案が発生しました。
　犯人は、年齢２０歳くらい、中肉、カーキ色ジャンパー、白色スニーカーを着用した男でした。
●深夜の一人歩きは避けましょう。
●危険を感じたら大声を出しましょう。
●防犯ブザー等を活用する等しましょう。

配信者：早良警察署
お問い合わせ・情報提供先
092-847-0110

"
